title,imgpath,salesprice
"Apple iPhone 13 Pro (256 GB Storage, Silver)",https://d2xamzlzrdbdbn.cloudfront.net/products/f7914f11-7b00-4ccb-b19c-c9c6017ec8d421170628.jpg,126790
"Apple iPhone 13 Pro Max (512GB Storage, Sierra Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/e51655ed-cc49-4017-9213-1848c186d95221170628.jpg,159900
"Apple iPhone 13 Pro (256 GB Storage, Sierra Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/5f305959-6277-4579-b98d-89961c3eaed021170627.jpg,122199
"Apple iPhone 13 Pro (256 GB Storage, Graphite)",https://d2xamzlzrdbdbn.cloudfront.net/products/bd01b607-eaaa-4228-aafa-eecfd394380a21170626.jpg,120900
"Apple iPhone 13 Pro Max (512 GB Storage, Graphite)",https://d2xamzlzrdbdbn.cloudfront.net/products/8085146f-f7b2-4010-ad22-68c2b50e11cc21170623.jpg,150300
"Apple iPhone 13 Pro (1 TB Storage, Silver)",https://d2xamzlzrdbdbn.cloudfront.net/products/cfdf626a-91d7-47ad-984d-7cde8226fb9621170622.jpg,149900
"Apple iPhone 13 Pro (1 TB Storage, Sierra Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/206e594d-28f9-409e-9d85-e8a5b422f28621170621.jpg,169900
"Apple iPhone 13 Pro (1 TB Storage, Graphite)",https://d2xamzlzrdbdbn.cloudfront.net/products/452506cd-9c1a-4ed2-935c-94698ed103a221170620.jpg,159799
"Apple iPhone 13 Pro Max (512 GB, Silver)",https://d2xamzlzrdbdbn.cloudfront.net/products/b03f0782-7bbf-4c1a-8605-2b63aad7dd0021170619.jpg,150300
"Apple iPhone 13 Pro (128 GB Storage, Silver)",https://d2xamzlzrdbdbn.cloudfront.net/products/17e514bb-54d3-4ffb-b5aa-dc7f55d7c32921170618.jpg,111600
"Apple iPhone 13 Pro (128 GB Storage, Gold)",https://d2xamzlzrdbdbn.cloudfront.net/products/dce5eb95-8786-44a0-b57b-f2ab9bd7027a21170614.jpg,106900
"Apple iPhone 13 Pro Max (512 GB Storage, Gold)",https://d2xamzlzrdbdbn.cloudfront.net/products/680f371a-0ebe-4a17-9124-72ebc63bd71721170614.jpg,150300
"Apple iPhone 13 (512 GB Storage, Starlight)",https://d2xamzlzrdbdbn.cloudfront.net/products/54135db2-883c-4dd1-8234-db04735394d821170610.jpg,94900
"Apple iPhone 13 (512 GB Storage, Pink)",https://d2xamzlzrdbdbn.cloudfront.net/products/e8353b9e-db69-4c0b-9c06-a2e924d6099d21170609.jpg,94900
"Apple iPhone 13 Pro Max (256GB Storage, Sierra Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/e848bf24-23e8-464c-a076-9ca9d48d737e21170608.jpg,136590
"Apple iPhone 13 (512 GB Storage, Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/1256fe7f-6a21-40ad-aa8e-8f83601997cc21170606.jpg,94900
"Apple iPhone 13 (512 GB Storage, (Product) Red)",https://d2xamzlzrdbdbn.cloudfront.net/products/1b1bf514-6fad-4fa6-8ea3-d2ab0548d31e21170604.jpg,94900
"Apple iPhone 13 Pro Max (256 GB Storage, Graphite)",https://d2xamzlzrdbdbn.cloudfront.net/products/993af070-81e1-4b22-87c8-71b2145c2b9621170604.jpg,119900
"Apple iPhone 13 (256 GB Storage, Pink)",https://d2xamzlzrdbdbn.cloudfront.net/products/acf11b94-2d1f-48e3-bc9e-ecc98535ffef21170601.jpg,73900
"Apple iPhone 13 Pro Max (256 GB, Silver)",https://d2xamzlzrdbdbn.cloudfront.net/products/ea5fe241-d829-4072-b789-2a5c93a1521021170559.jpg,136590
